axis,axis_value,model,config_key,is_baseline,seed,n_cameras,n_frames,layout,n_true,n_assumed,normal_fixed,depth_range_min,depth_range_max,xy_extent,spacing,status,status_reason,optimality_stage3_interface_optimization,optimality_stage3_intrinsic_pass,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,focal_error_pct_mean,xy_position_error_mm_mean,z_position_error_mm_mean,water_z_error_mm_mean,num_comparisons,num_frames,degenerate_observations_at_solution,water_z_error_mm_signed_mean,z_position_error_mm_gauge_corrected_mean
index,1.55,refractive,index_1.55,False,42,12,100,grid,1.55,1.55,False,,,,,ok,,0.0023030216612234256,0.0014588185938464449,0.7055874730033864,0.34331677404064787,0.500478009875332,0.03937718985532014,0.04990463918216823,0.12710203226931574,-0.6109532661171396,0.027034030895434213,14597,100,0,0.027034030895434213,0.055541206010649026
layout,grid,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.009438614222347042,0.002135818893962679,0.706462043079634,0.33500137694938603,0.49293669577681715,0.030720452225398286,0.03684512482150568,0.1826284110526688,0.39100674708007116,0.7127005245057827,14719,100,0,0.7127005245057827,-0.035546067916370085
layout,line,refractive,layout_line,False,42,12,100,line,1.333,1.333,False,,,,,ok,,0.00215349215259866,0.014640083412587046,0.7566243809754257,0.3690336027630332,0.5253963315078239,0.042002272648896305,-0.03377194962146853,2.98468182836512,-0.12208608297502026,1.258486023291594,3043,34,0,-1.258486023291594,0.011098734815910838
layout,ring,refractive,layout_ring,False,42,12,100,ring,1.333,1.333,False,,,,,ok,,0.004168910673286064,0.003754009845565065,0.7047698167656985,0.4750503584947516,0.7166061382200791,0.06217872290481197,0.0660738336172468,0.22681521315341416,-0.10124492066807862,0.42035091847769657,12854,99,0,0.42035091847769657,0.009204083697098048
cameras,12,refractive,baseline,True,43,12,100,grid,1.333,1.333,False,,,,,ok,,0.0017311362696294623,0.0010808235063564098,0.7048908059209062,0.33680866448447133,0.4826225373419072,0.03140688743350882,0.01624808877046378,0.10846105247388609,-0.21840378012248174,0.8325780522437931,14414,100,0,-0.8325780522437931,0.019854889102043805
cameras,16,refractive,cameras_16,False,43,16,100,grid,1.333,1.333,False,,,,,ok,,0.0015776179502040577,0.001670495240659875,0.7057900810673564,0.344411126765042,0.5086113623615954,0.03531552498096826,-0.03319054712622324,0.18202565270439802,0.11491010691436167,0.39328630321056046,14713,100,0,-0.39328630321056046,-0.007660673794290772
cameras,8,refractive,cameras_8,False,43,8,100,grid,1.333,1.333,False,,,,,ok,,0.0016090483221375962,0.0024981526855092093,0.7032343614027738,0.3836508049435128,0.562610659713108,0.040988914276176514,-0.017112190915808158,0.1971751235951088,0.6451812913518313,0.8762420819601324,14855,100,0,-0.8762420819601324,-0.09216875590740446
index,1.333,refractive,baseline,True,43,12,100,grid,1.333,1.333,False,,,,,ok,,0.0017311362696294623,0.0010808235063564098,0.7048908059209062,0.33680866448447133,0.4826225373419072,0.03140688743350882,0.01624808877046378,0.10846105247388609,-0.21840378012248174,0.8325780522437931,14414,100,0,-0.8325780522437931,0.019854889102043805
index,1.36,refractive,index_1.36,False,43,12,100,grid,1.36,1.36,False,,,,,ok,,0.0019120299175723332,0.06390865492238618,0.7056514934169694,0.3379800196777712,0.49317742220380123,0.036955291370351744,0.08958910237123398,0.21999086637008694,1.9123077557881751,2.317467104063109,14386,100,0,2.317467104063109,-0.17384615961710703
index,1.39,refractive,index_1.39,False,43,12,100,grid,1.39,1.39,False,,,,,ok,,0.0033902216752865755,0.005581993925943607,0.7053778931865282,0.3423976601114726,0.4985408792413723,0.034428907029866514,0.034110816556088455,0.12876343370454346,1.1942341720415872,1.619106517620983,14370,100,0,1.619106517620983,-0.10856674291287134
index,1.42,refractive,index_1.42,False,43,12,100,grid,1.42,1.42,False,,,,,ok,,0.001517979460004426,0.0018387954654599525,0.7045415611026177,0.34708421672044987,0.49987307100744893,0.04057749839134638,-0.09193839023351165,0.21110400161170553,0.25252739305188293,0.5685332906963936,14336,100,0,-0.5685332906963936,-0.022957035731989383
index,1.45,refractive,index_1.45,False,43,12,100,grid,1.45,1.45,False,,,,,ok,,0.13408051782448638,0.0014795264746633404,0.7046744053551551,0.3417086741501986,0.49322132424845694,0.037346807674589026,-0.011139806716051,0.32497133534456474,0.4241890423510936,0.04185844119142246,14309,100,0,-0.04185844119142246,-0.03856264021373579
index,1.48,refractive,index_1.48,False,43,12,100,grid,1.48,1.48,False,,,,,ok,,0.0017225532874363125,0.0023212435588574123,0.7049953522220423,0.344562775864149,0.49826262335084476,0.03594982439109281,0.03995002637379979,0.2315926807015807,-0.09794931772315273,0.7457048796930543,14279,100,0,0.7457048796930543,0.008904483429377516
index,1.51,refractive,index_1.51,False,43,12,100,grid,1.51,1.51,False,,,,,ok,,0.001556418829139261,0.0017805821865535915,0.7045049845115885,0.34740784341109215,0.5020738926198568,0.03920005609550029,-0.05771765600041983,0.144956908073513,0.03442327460964767,0.02225043321946174,14246,100,0,0.02225043321946174,-0.003129388600877064
index,1.55,refractive,index_1.55,False,43,12,100,grid,1.55,1.55,False,,,,,ok,,0.001610137528047062,0.0020147466497198105,0.7036458228842846,0.342879818515522,0.4943989591762988,0.04371879258294856,-0.047142173891023396,0.10649522887599482,0.08583436471217731,0.16363033374511282,14219,100,0,-0.16363033374511282,-0.007803124064743394
layout,grid,refractive,baseline,True,43,12,100,grid,1.333,1.333,False,,,,,ok,,0.0017311362696294623,0.0010808235063564098,0.7048908059209062,0.33680866448447133,0.4826225373419072,0.03140688743350882,0.01624808877046378,0.10846105247388609,-0.21840378012248174,0.8325780522437931,14414,100,0,-0.8325780522437931,0.019854889102043805
layout,line,refractive,layout_line,False,43,12,100,line,1.333,1.333,False,,,,,ok,,0.0023344575193959827,0.01200697051865518,0.8151104298469316,0.38200101538912373,0.5199426723705468,0.03725146389901928,-0.012713527228815179,3.1803498986066754,-18.499644229331164,18.859271426316045,2000,19,0,-18.859271426316045,1.6817858390301075
layout,ring,refractive,layout_ring,False,43,12,100,ring,1.333,1.333,False,,,,,ok,,0.017199826109731475,0.001550541396804566,0.7011962233936673,0.4785058988713308,0.7248480508785888,0.07024776943623612,0.0018314999053598985,0.31342268044104965,0.4820331755925711,0.24206144561844667,11997,100,0,0.24206144561844667,-0.043821197781142913
cameras,12,refractive,baseline,True,44,12,100,grid,1.333,1.333,False,,,,,ok,,0.004289034970611283,0.0027484298453328655,0.7068952688263643,0.3428307152500733,0.49615821166074375,0.03247784645962212,0.04184125858625787,0.17397131311327538,0.07521550840244627,0.8927761495787223,14538,100,0,0.8927761495787223,-0.006837773491131474
cameras,16,refractive,cameras_16,False,44,16,100,grid,1.333,1.333,False,,,,,ok,,0.002631259391534968,0.0019625079703473602,0.7078912250932818,0.34751340251989166,0.5167816923187273,0.0340173732124754,-0.10876809415095193,0.17265337131212954,0.03541645029324522,2.114485837880986,14916,100,0,-2.114485837880986,-0.0023610966862163615
cameras,8,refractive,cameras_8,False,44,8,100,grid,1.333,1.333,False,,,,,ok,,0.002386962262353895,0.0022173353421587327,0.706458165517744,0.38335353670607014,0.5592302838070871,0.04211794534344226,0.028636627797674848,0.1626420667427602,-0.6763212492894274,0.31786112262466304,14760,100,0,-0.31786112262466304,0.09661732132706102
index,1.333,refractive,baseline,True,44,12,100,grid,1.333,1.333,False,,,,,ok,,0.004289034970611283,0.0027484298453328655,0.7068952688263643,0.3428307152500733,0.49615821166074375,0.03247784645962212,0.04184125858625787,0.17397131311327538,0.07521550840244627,0.8927761495787223,14538,100,0,0.8927761495787223,-0.006837773491131474
index,1.36,refractive,index_1.36,False,44,12,100,grid,1.36,1.36,False,,,,,ok,,0.013121995192122426,0.0018143980507829838,0.7072324381635043,0.34185838671089697,0.5020525578598403,0.030926893817705907,-0.008606098139018603,0.14235366886344683,0.6751525367828649,0.43843236515961337,14506,100,0,0.43843236515961337,-0.06137750334389679
index,1.39,refractive,index_1.39,False,44,12,100,grid,1.39,1.39,False,,,,,ok,,0.005735170455977823,0.0017704806301708231,0.7068845637278867,0.34139968399917064,0.5010772409702873,0.033204947232006066,0.07759822857621537,0.10153717599756312,-0.8446785262565989,0.883409412568481,14486,100,0,-0.883409412568481,0.07678895693241809
index,1.42,refractive,index_1.42,False,44,12,100,grid,1.42,1.42,False,,,,,ok,,0.0015977897841139566,0.002948516689855296,0.7066782181669684,0.3423146676967867,0.49409492823673895,0.03710277922453278,0.05715285391844269,0.11813170843365818,0.013367022485889913,0.10521562481602409,14465,100,0,0.10521562481602409,-0.001215183862353623
index,1.45,refractive,index_1.45,False,44,12,100,grid,1.45,1.45,False,,,,,ok,,0.0018189537957422203,0.0017690818153823784,0.7064574116265304,0.34834335358237023,0.5185042014750791,0.0403176304020696,-0.0002687270090497731,0.12421850104143091,0.4147369717854823,0.42039862085441193,14439,100,0,0.42039862085441193,-0.03770336107140745
index,1.48,refractive,index_1.48,False,44,12,100,grid,1.48,1.48,False,,,,,ok,,0.005387354098900232,0.0013005428005049456,0.7066847053022484,0.3411748331828162,0.4975119447602664,0.038698191466352824,-0.008013947130304611,0.2778703335226109,0.7948571420775252,0.5347647871585259,14401,100,0,0.5347647871585259,-0.07225974018886601
index,1.51,refractive,index_1.51,False,44,12,100,grid,1.51,1.51,False,,,,,ok,,0.005068018889062387,0.002732766753652527,0.7065124837160013,0.34655953950567137,0.503582684444811,0.038773294811137296,0.034793634016495156,0.31981004533215623,-0.20361501165805343,0.4367647107093031,14364,100,0,0.4367647107093031,0.018510455605277577
index,1.55,refractive,index_1.55,False,44,12,100,grid,1.55,1.55,False,,,,,ok,,0.005975449066788485,0.0013485746781043417,0.7063117376424719,0.3543159005869067,0.5265310817096757,0.04248497722706491,-0.06389196201059626,0.16519701787293625,-0.28475090436528266,0.9257646227174288,14322,100,0,-0.9257646227174288,0.025886445851389342
layout,grid,refractive,baseline,True,44,12,100,grid,1.333,1.333,False,,,,,ok,,0.004289034970611283,0.0027484298453328655,0.7068952688263643,0.3428307152500733,0.49615821166074375,0.03247784645962212,0.04184125858625787,0.17397131311327538,0.07521550840244627,0.8927761495787223,14538,100,0,0.8927761495787223,-0.006837773491131474
layout,line,refractive,layout_line,False,44,12,100,line,1.333,1.333,False,,,,,ok,,0.02509917188446309,0.00978498589522836,0.7442869946423174,0.3324290926887392,0.4520200880276129,0.04058717563147934,-0.02087330324280115,1.1840705941718872,2.363639573125987,4.652046104031137,3216,28,0,4.652046104031137,-0.21487632482963506
layout,ring,refractive,layout_ring,False,44,12,100,ring,1.333,1.333,False,,,,,ok,,0.0024575090678769433,0.0019021554914615308,0.7074364817801744,0.4964274848308569,0.733460758527078,0.06301298362242123,0.007223252542582936,0.2920825039799478,-1.0137810704671437,1.3165944935957796,12265,100,0,-1.3165944935957796,0.09216191549701315
cameras,12,refractive,baseline,True,45,12,100,grid,1.333,1.333,False,,,,,ok,,0.0014410171486929357,0.004813940736880795,0.7061242991642889,0.32661127921735444,0.4622569893231576,0.025068367694374122,-0.08820224527077995,0.16643241500610825,-0.4761572248475315,1.4137664077127354,14311,100,0,-1.4137664077127354,0.043287020440684644
cameras,16,refractive,cameras_16,False,45,16,100,grid,1.333,1.333,False,,,,,ok,,0.0017858445971796755,0.001717331301961167,0.7069628723873495,0.3272166415569968,0.47537501299946944,0.030269293191232675,0.04313132545917746,0.3356922476849664,0.5931415371596633,0.831617822590669,14611,100,0,0.831617822590669,-0.03954276914397757
cameras,8,refractive,cameras_8,False,45,8,100,grid,1.333,1.333,False,,,,,ok,,0.0018106689273054144,0.0027381532104300277,0.7064703000194874,0.3669815536728754,0.5185242413845739,0.04037927544580946,-0.01572431496673575,0.09505152025874375,0.2893773317200888,0.35047078918948316,14735,100,0,0.35047078918948316,-0.041339618817155574
index,1.333,refractive,baseline,True,45,12,100,grid,1.333,1.333,False,,,,,ok,,0.0014410171486929357,0.004813940736880795,0.7061242991642889,0.32661127921735444,0.4622569893231576,0.025068367694374122,-0.08820224527077995,0.16643241500610825,-0.4761572248475315,1.4137664077127354,14311,100,0,-1.4137664077127354,0.043287020440684644
index,1.36,refractive,index_1.36,False,45,12,100,grid,1.36,1.36,False,,,,,ok,,0.002081105867489441,0.00178303122311263,0.7062447070522652,0.3269431552431147,0.4683104662477325,0.03290780287836676,-0.04272531839861112,0.38084999244872364,0.5981723641755678,0.33171934045261864,14290,100,0,0.33171934045261864,-0.05437930583414246
index,1.39,refractive,index_1.39,False,45,12,100,grid,1.39,1.39,False,,,,,ok,,0.002443612862180089,0.0022603051183978096,0.7060647553541429,0.3281957872085678,0.472319328283671,0.03197570663482388,0.029057805372913484,0.1269034437789272,0.7914980069242373,2.103313387569416,14247,100,0,2.103313387569416,-0.07195436426583983
index,1.42,refractive,index_1.42,False,45,12,100,grid,1.42,1.42,False,,,,,ok,,0.003816506877082098,0.0017040015875409154,0.7064038373985961,0.32855718476863316,0.4709902985178486,0.034538723023004855,0.05673409330032511,0.14932907430472603,-0.07938258952578399,1.3417648602727095,14216,100,0,1.3417648602727095,0.007216599047798537
index,1.45,refractive,index_1.45,False,45,12,100,grid,1.45,1.45,False,,,,,ok,,0.0050553186729864735,0.0017060605264305195,0.705959102240282,0.3275383953636256,0.4647460115230942,0.032368565035260866,-0.005518190969380612,0.11646528293436244,-0.16050034537488642,0.3478080242866888,14181,100,0,0.3478080242866888,0.014590940488626102
index,1.48,refractive,index_1.48,False,45,12,100,grid,1.48,1.48,False,,,,,ok,,0.008618849451471178,0.0014188094567089138,0.7060659580052274,0.3364214342443446,0.4854507433852465,0.037832797706613804,0.04575685928739185,0.0771218365504905,0.4675166353984752,0.2218967290557039,14153,100,0,-0.2218967290557039,-0.042501512308952306
index,1.51,refractive,index_1.51,False,45,12,100,grid,1.51,1.51,False,,,,,ok,,0.005121593154485827,0.001431604913875617,0.7064529770897291,0.3371767577408791,0.48074136492459313,0.03847271348535993,0.013984560807134838,0.20663205741093008,-0.11707065110606345,0.13368473845765116,14123,100,0,0.13368473845765116,0.010642786464187594
index,1.55,refractive,index_1.55,False,45,12,100,grid,1.55,1.55,False,,,,,ok,,0.002976210277013891,0.0016093335601112813,0.7067572349318516,0.3328877475891693,0.479581408748437,0.03732028114772262,0.0212588039085974,0.3409797002471291,0.5562953394790249,0.7777897800500533,14094,100,0,-0.7777897800500533,-0.0505723035890022
layout,grid,refractive,baseline,True,45,12,100,grid,1.333,1.333,False,,,,,ok,,0.0014410171486929357,0.004813940736880795,0.7061242991642889,0.32661127921735444,0.4622569893231576,0.025068367694374122,-0.08820224527077995,0.16643241500610825,-0.4761572248475315,1.4137664077127354,14311,100,0,-1.4137664077127354,0.043287020440684644
layout,line,refractive,layout_line,False,45,12,100,line,1.333,1.333,False,,,,,ok,,0.00138857830087602,0.0023531480319434195,0.7076326844473998,0.3430776787093916,0.456075010135305,0.03368933536858336,0.0627753963077567,0.7394059564100415,1.3131056287718137,2.23758994699419,2361,28,0,2.23758994699419,-0.11937323897925584
layout,ring,refractive,layout_ring,False,45,12,100,ring,1.333,1.333,False,,,,,ok,,0.03176642202038238,0.003331751056975918,0.7062407231009293,0.4562347675571573,0.6675992223199425,0.06699982572527305,0.08008661654947723,0.3022777229429245,-0.3003767393359208,0.9732112375826496,12110,99,0,-0.9732112375826496,0.027306976303265496
cameras,12,refractive,baseline,True,46,12,100,grid,1.333,1.333,False,,,,,ok,,0.0018451208000556107,0.0035649149521465567,0.7064991555602405,0.32972319848304354,0.47477183850164134,0.031770630111056186,-0.04672773570381487,0.14414055113568613,0.9265487139578127,1.6870167531448654,14180,100,0,1.6870167531448654,-0.08423170126889223
cameras,16,refractive,cameras_16,False,46,16,100,grid,1.333,1.333,False,,,,,ok,,0.002086451285322255,0.0032506784887008137,0.7066003230432452,0.335116749054071,0.4854580662535165,0.03144251852826611,0.038736319603936364,0.209079865643469,-0.9305008088266036,0.7474338732029739,14469,100,0,-0.7474338732029739,0.06203338725510685
cameras,8,refractive,cameras_8,False,46,8,100,grid,1.333,1.333,False,,,,,ok,,0.004125994372998321,0.00141419075180238,0.7050558255869128,0.37542237315680554,0.5504209628632761,0.043320032516798876,0.04038732174382776,0.13909517819794404,-0.052096346877412276,0.9757380252926051,14595,100,0,0.9757380252926051,0.007442335268201754
index,1.333,refractive,baseline,True,46,12,100,grid,1.333,1.333,False,,,,,ok,,0.0018451208000556107,0.0035649149521465567,0.7064991555602405,0.32972319848304354,0.47477183850164134,0.031770630111056186,-0.04672773570381487,0.14414055113568613,0.9265487139578127,1.6870167531448654,14180,100,0,1.6870167531448654,-0.08423170126889223
index,1.36,refractive,index_1.36,False,46,12,100,grid,1.36,1.36,False,,,,,ok,,0.004067650851197868,0.004182977288697156,0.7059632059569828,0.3331891103480882,0.480465509147395,0.03042524750223786,0.06144210000501906,0.29974753620073563,0.1612979750518165,1.332719451511144,14140,100,0,1.332719451511144,-0.014663452277437788
index,1.39,refractive,index_1.39,False,46,12,100,grid,1.39,1.39,False,,,,,ok,,0.0022263108968982883,0.0014993800629099496,0.706218058708638,0.3336700401207635,0.471082421188635,0.034068104459137764,-0.00560817058501439,0.11836677872865269,-0.686889713121834,0.05018749889185159,14111,100,0,-0.05018749889185159,0.06244451937471208
index,1.42,refractive,index_1.42,False,46,12,100,grid,1.42,1.42,False,,,,,ok,,0.0025871410821309837,0.002956658481034166,0.7062078122550535,0.33762508678335074,0.48634103265782774,0.03494630624790838,-0.0009602503765347216,0.2291713465035987,-0.15156808376211048,0.3033471352293926,14090,100,0,0.3033471352293926,0.013778916705646413
index,1.45,refractive,index_1.45,False,46,12,100,grid,1.45,1.45,False,,,,,ok,,0.0027736279307646328,0.0019622903332353094,0.7058293493874414,0.34301738117541347,0.49315355086527024,0.039259391576258115,0.03132492547049377,0.18277363342277528,0.052640029389943756,0.5479681515649926,14045,100,0,-0.5479681515649926,-0.004785457217267604
index,1.48,refractive,index_1.48,False,46,12,100,grid,1.48,1.48,False,,,,,ok,,0.0025617909581683307,0.0013995617738327753,0.7059955067868523,0.34050325604916376,0.4922157716211877,0.039961718760421525,-0.02012845594326747,0.15992984883439926,-0.12896469941724348,0.1666843065060153,14019,100,0,0.1666843065060153,0.011724063583385777
index,1.51,refractive,index_1.51,False,46,12,100,grid,1.51,1.51,False,,,,,ok,,0.0015430307916212975,0.0023192146248024723,0.7056076426730723,0.34105776287411854,0.4829427934746345,0.03826995053630252,0.018695260454317436,0.1766025891211134,0.4856077469691111,1.0491892399382419,13968,100,0,1.0491892399382419,-0.04414615881537385
index,1.55,refractive,index_1.55,False,46,12,100,grid,1.55,1.55,False,,,,,ok,,0.0010629107680415473,0.001853960327030002,0.7050421494270352,0.3379725381096321,0.48579215837215417,0.0404065746847031,-0.08423701606949892,0.15115209797801343,0.2018029475353342,0.4486126328071549,13926,100,0,-0.4486126328071549,-0.018345722503212203
layout,grid,refractive,baseline,True,46,12,100,grid,1.333,1.333,False,,,,,ok,,0.0018451208000556107,0.0035649149521465567,0.7064991555602405,0.32972319848304354,0.47477183850164134,0.031770630111056186,-0.04672773570381487,0.14414055113568613,0.9265487139578127,1.6870167531448654,14180,100,0,1.6870167531448654,-0.08423170126889223
layout,line,refractive,layout_line,False,46,12,100,line,1.333,1.333,False,,,,,ok,,0.0015640635233467037,0.0018985348477826847,0.7083714035630804,0.3998522628940137,0.613213000748366,0.03611444942049792,0.18311876528317805,1.5235460367390277,-1.2705505894541227,2.5115901236123506,2817,29,0,-2.5115901236123506,0.1155045990412839
layout,ring,refractive,layout_ring,False,46,12,100,ring,1.333,1.333,False,,,,,ok,,0.0009084415046345384,0.004976363197748412,0.7024432246019868,0.47209322087403516,0.6993262069133137,0.07040970183145892,-0.2064010979810963,0.24135484905626273,-0.057974748000573846,1.3565061394704703,11571,100,0,-1.3565061394704703,0.005270431636415783
cameras,12,refractive,baseline,True,47,12,100,grid,1.333,1.333,False,,,,,ok,,0.002204401863878047,0.0024392000789248414,0.7062094996585064,0.3360233451587365,0.5062004129006507,0.03329683598864501,-0.02480948494933752,0.15402997746257893,-0.2243975960773337,0.6091269503931684,14758,100,0,-0.6091269503931684,0.020399781461575815
cameras,16,refractive,cameras_16,False,47,16,100,grid,1.333,1.333,False,,,,,ok,,0.004113234129240111,0.002886847841908018,0.7061804846640782,0.33611406623553497,0.506298305544914,0.031019334529308756,0.03793645553058149,0.13211355838379324,1.2216771217825313,1.4669776923148525,14985,100,0,1.4669776923148525,-0.08144514145216916
cameras,8,refractive,cameras_8,False,47,8,100,grid,1.333,1.333,False,,,,,ok,,0.0023302322969384523,0.0015891343519172096,0.705374527432339,0.3816090542539968,0.5644403101435501,0.042809271153197374,0.02858098911567432,0.09664830770860988,0.20247799217845902,0.07508495629182654,14997,100,0,-0.07508495629182654,-0.028925427454065542
index,1.333,refractive,baseline,True,47,12,100,grid,1.333,1.333,False,,,,,ok,,0.002204401863878047,0.0024392000789248414,0.7062094996585064,0.3360233451587365,0.5062004129006507,0.03329683598864501,-0.02480948494933752,0.15402997746257893,-0.2243975960773337,0.6091269503931684,14758,100,0,-0.6091269503931684,0.020399781461575815
index,1.36,refractive,index_1.36,False,47,12,100,grid,1.36,1.36,False,,,,,ok,,0.002045657679559554,0.0021864196305614314,0.706002551377218,0.3387064090294138,0.49997113158255735,0.03254207496942587,0.06496561347336662,0.3089070813682945,-0.09011711988196387,0.09401283833021523,14741,100,0,-0.09401283833021523,0.008192465443814875
index,1.39,refractive,index_1.39,False,47,12,100,grid,1.39,1.39,False,,,,,ok,,0.0024700936313024613,0.0014160864788550498,0.7062746394344912,0.33704217334067804,0.4920183971643858,0.03723901945231022,-0.0018577461978159116,0.25056744416163684,0.6729920875984882,0.12448254670616166,14725,100,0,-0.12448254670616166,-0.06118109887258986
index,1.42,refractive,index_1.42,False,47,12,100,grid,1.42,1.42,False,,,,,ok,,0.10166756031128443,0.0022563101676382757,0.7055600323872724,0.3363739084811448,0.4925267341940118,0.03264251287221323,0.04981873699064357,0.14781238966963323,0.3961019093530742,0.1030820859935222,14692,100,0,-0.1030820859935222,-0.03600926448664308
index,1.45,refractive,index_1.45,False,47,12,100,grid,1.45,1.45,False,,,,,ok,,0.0017895093258744055,0.003764348817402547,0.7058940989344462,0.3412443191022122,0.5015752967978431,0.03963694566054891,0.052409770516606495,0.2574340089374923,-0.7016247495669301,0.9868284996858989,14668,100,0,-0.9868284996858989,0.06378406814244826
index,1.48,refractive,index_1.48,False,47,12,100,grid,1.48,1.48,False,,,,,ok,,0.005590126168058873,0.002283538583583322,0.705683303172197,0.33947073258747273,0.4957746442031236,0.03455037909001652,-0.005501014696918,0.12825801548959145,0.28169891250353485,0.5614608043384983,14647,100,0,0.5614608043384983,-0.02560899204577589
index,1.51,refractive,index_1.51,False,47,12,100,grid,1.51,1.51,False,,,,,ok,,0.003593335281171961,0.002193883140421349,0.7053048833087976,0.34122681164209734,0.4973600478931011,0.040388187499304055,-0.0719018369369865,0.13602201708955763,0.11701403406502305,1.0280291755635496,14633,100,0,-1.0280291755635496,-0.01063763946045664
index,1.55,refractive,index_1.55,False,47,12,100,grid,1.55,1.55,False,,,,,ok,,0.0018029454442141414,0.0022633833376110393,0.7063359791356073,0.34419529137926536,0.5064889181824115,0.04362467028601311,-0.00026385075823443465,0.2647397264577371,-0.9213477512113522,0.24571152006824803,14603,100,0,-0.24571152006824803,0.08375888647375944
layout,grid,refractive,baseline,True,47,12,100,grid,1.333,1.333,False,,,,,ok,,0.002204401863878047,0.0024392000789248414,0.7062094996585064,0.3360233451587365,0.5062004129006507,0.03329683598864501,-0.02480948494933752,0.15402997746257893,-0.2243975960773337,0.6091269503931684,14758,100,0,-0.6091269503931684,0.020399781461575815
layout,line,refractive,layout_line,False,47,12,100,line,1.333,1.333,False,,,,,ok,,0.05364984071547951,0.21224379337309074,0.708808283303928,0.37757076356287933,0.601536098231778,0.030530931974756335,-0.009012833237830096,1.4153075618288042,-0.30101589431047393,1.9554636719492098,2790,29,0,-1.9554636719492098,0.027365081300952183
