seed,axis,axis_value,optimality_stage3_interface_optimization,optimality_stage3_intrinsic_pass,reconstruction_rmse_mm,xy_position_error_mm_mean,z_position_error_mm_mean,water_z_error_mm_mean,reprojection_rms_px,degenerate_observations_at_solution,status
62,scale,double_scale,2.5112924641545042,1.1394926122490006,0.6619462890465406,0.2579745438595821,-0.16415199919678752,2.958809730752169,0.7013567727680915,0,ok
62,scale,half_scale,0.01875493059606015,0.012750341592436598,0.3380462780545468,0.12748162051128487,0.10947832942470248,2.9105180815837497,0.7059864235429565,0,ok
28,index,1.333,0.011986367367455841,0.003615874265795682,0.4762458413258488,0.2378883659288362,0.875198334733046,3.250502876427401,0.7049147732901603,0,ok
28,index,1.36,0.005020328517218786,0.0038999187418085057,0.4736990154401859,0.22222789823466757,1.0766914791741486,3.111084959566801,0.7052381857394079,0,ok
28,index,1.39,0.005255715618773138,0.003860275888655451,0.4849772127815402,0.14068264025012864,1.007350362484508,3.567245062944887,0.7057908091027845,0,ok
28,index,1.42,0.004599330714995631,0.003240497144361143,0.4907064476650379,0.1248600522241992,0.7082054668290932,3.0816134332628162,0.7051335077304762,0,ok
28,index,1.45,0.005864842107484947,0.0049109934418538614,0.4771507595918208,0.1793047979422465,0.3289718274932682,3.189208998824688,0.7057361827452351,0,ok
28,index,1.48,0.0026792509647748375,0.00724612496270538,0.4834214298801253,0.10020614719376024,0.8396893653469261,3.135475167733197,0.705398073963791,0,ok
28,index,1.51,0.005112693879944175,0.004274719772581648,0.4912656769888575,0.146731707510084,0.6095278610310998,3.225728270565517,0.7055053739959929,0,ok
28,index,1.55,0.006392939398381259,0.003602986267082997,0.4991242884419258,0.40450708219067666,1.8395205627459807,3.8508224793968684,0.7055685454893373,0,ok
28,layout,grid,0.011986367367455841,0.003615874265795682,0.4762458413258488,0.2378883659288362,0.875198334733046,3.250502876427401,0.7049147732901603,0,ok
28,layout,line,0.0056426931887472165,0.010388025444854065,0.44632468112261214,6.151922562352738,-7.609866567621133,11.762788025572918,0.7700898089262944,0,ok
28,layout,ring,0.007820186738470625,0.0022367239163259,0.7025936214158289,0.205535389116665,0.7981474702649157,3.094415947303494,0.7042242150150789,0,ok
28,scale,default,0.011986367367455841,0.003615874265795682,0.4762458413258488,0.2378883659288362,0.875198334733046,3.250502876427401,0.7049147732901603,0,ok
28,scale,double_scale,0.001739233030093601,0.22411520069385915,0.6466031571115077,0.36109536683695853,0.9386929165394063,3.154427387252319,0.7038778873129751,0,ok
28,scale,half_scale,0.009629590477061356,0.015021428681166071,0.34352439597644086,0.10320649567402856,0.44883604008076095,3.103454918030176,0.7068416969244387,0,ok
